Park,Year,Region,Shade Trees,"OrnamentalTrees",Tree Total
Beniac Greenway,2018,S,32,4,36
Berger,2018,N,9,0,9
Berger,2015,N,1,0,1
Berger,2012,N,1,0,1
Berger,2009,N,3,1,4
Bessemer,2017,S,55,0,55
Bessemer,2007,S,15,15,30
Beverly,2014,S,20,0,20
Beverly,2013,S,74,0,74
Beverly,2010,S,18,0,18
Beverly,2008,S,0,1,1
Beverly Ridge,2016,S,42,0,42
Big Marsh,2020,S,38,0,38
Big Marsh,2019,S,25,0,25
Bixler,2018,S,6,0,6
Bixler,2015,S,1,0,1
Blackhawk,2016,N,52,0,52
Blackhawk,2006,N,10,0,10
Blackwelder,2014,S,15,0,15
Blackwelder,2013,S,40,0,40
Block,2017,S,19,0,19
Block,2008,S,2,0,2
Bogan,2019,S,127,0,127
Bohn,2014,S,30,0,30
Boler,2014,C,22,0,22
Bosley,2019,C,19,0,19
Bosley,2010,C,4,3,7
Bradley,2016,S,55,0,55
Brainerd,2018,S,63,0,63
Brands,2018,N,26,0,26
Brands,2008,N,3,3,6
Brands,2006,N,0,5,5
Brighton,2016,C,11,0,11
Broadway Armory,2018,N,2,0,2
Bromann,2014,N,1,0,1
Brooks,2019,N,7,21,28
"Brooks, Gwendolyn",2017,C,54,0,54
"Brooks, Oscar",2018,N,5,0,5
"Brooks, Oscar",2014,N,39,0,39
"Brooks, Oscar",2013,N,20,0,20
"Brooks, Oscar",2009,N,9,15,24
"Brooks, Oscar",2008,N,1,0,1
Brown Memorial,2018,S,72,0,72
Brown Memorial,2008,S,20,9,29
Brynford,2011,N,1,0,1
Buena Circle,2016,N,6,0,6
Buena Circle,2008,N,0,2,2
Burnham,2020,C,316,1,317
Burnham,2019,C,1,1,2
Burnham,2018,C,446,1,447
Burnham,2016,C,75,1,76
Burnham,2015,C,40,6,46
Burnham,2014,C,85,6,91
Burnham,2013,C,15,8,23
Burnham,2012,C,41,94,135
Burnham,2011,C,286,342,628
Burnham,2010,C,4,42,46
Burnham,2009,C,23,6,29
Burnham,2008,C,30,42,72
Burnham Wildlife Cor.,2018,C,20,0,20
Burnside,2017,S,78,1,79
Burnside,2015,C,0,1,1
Buttercup,2015,N,4,4,8
Butternut,2019,S,3,0,3
California,2015,N,74,0,74
California,2009,N,8,3,11
California,2008,N,15,8,23
Calumet,2019,S,746,0,746
Calumet,2018,S,4,0,4
Calumet,2007,S,116,145,261
Canalport,2020,C,10,0,10
Carver,2018,S,48,0,48
Carver,2011,S,59,0,59
Catalpa,2020,C,3,0,3
Catalpa,2010,C,0,2,2
Centennial,2016,N,0,1,1
Centennial,2015,N,17,0,17
Centennial,2010,N,1,5,6
Challenger,2009,N,5,0,5
Challenger,2008,N,32,0,32
Chase,2018,N,1,0,1
Chase,2015,N,16,0,16
Chestnut,2018,S,10,0,10
Chippewa,2014,N,34,0,34
Chippewa,2009,N,10,8,18
Chopin,2016,N,62,0,62
Chopin,2006,N,13,6,19
Christiana,2020,C,2,0,2
Churchill Field,2018,N,5,0,5
Churchill Field,2010,N,1,9,10
Claremont,2017,C,7,0,7
Claremont,2010,C,1,6,7
Clarendon,2020,N,43,0,43
Clarendon,2015,N,10,0,10
Clarendon,2010,N,13,5,18
Clarendon,2009,N,1,0,1
Clarendon,2008,N,14,0,14
"Clark, John",2014,C,9,0,9
"Clark, Richard",2019,N,0,1,1
"Clark, Richard",2016,N,61,7,68
"Clark, Richard",2015,N,20,0,20
"Clark, Richard",2009,N,14,0,14
"Clark, Richard",2007,N,32,25,57
