Park,Year,Region,Shade Trees,"OrnamentalTrees",Tree Total
South Shore Cult. Cent.,2013,S,10,0,10
South Shore Cult. Cent.,2011,S,2,0,2
South Shore Cult. Cent.,2007,S,24,0,24
Spikings Farm,2015,N,1,0,1
Spruce,2017,S,20,0,20
Stateway Park,2020,C,47,0,47
Stanton,2014,C,6,0,6
Stanton,2010,C,15,16,31
Starr,2010,C,9,3,12
Stars & Stripes,2007,C,0,5,5
Steelworkers,2018,S,25,0,25
Steelworkers,2009,S,35,0,35
"Stone, Bernard (Pk 526)",2017,N,84,6,90
"Stout, Florence",2016,S,22,0,22
"Stout, Florence",2008,S,15,11,26
Strohacker,2015,S,18,0,18
Sunken Gardens,2013,N,1,4,5
Sunken Gardens,2012,N,1,0,1
Superior,2019,C,3,0,3
Sycamore,2017,S,10,0,10
Sycamore,2016,S,1,0,1
Taylor Lauridsen,2012,C,6,3,9
"Taylor, Robert",2015,C,50,0,50
Taylor Lauridsen,2015,C,10,0,10
Taylor Lauridsen,2010,C,3,0,3
The Grove,2019,S,6,0,6
Throop,2016,C,10,0,10
Throop,2010,C,2,0,2
Thuis,2020,N,1,0,1
Till-Mobley,2018,S,9,0,9
Tilton,2015,C,22,0,22
Touhy,2018,N,1,0,1
Touhy,2017,N,20,0,20
Touhy,2014,S,9,6,15
Touhy,2008,S,1,4,5
Touhy,2007,S,0,14,14
Touhy-Herbert,2019,C,43,0,43
Touhy-Herbert,2010,C,2,0,2
Triangle,2018,N,16,32,48
Triangle (Park 518),2010,N,7,0,7
Trumbull,2016,S,125,0,125
Trumbull,2012,S,1,0,1
Tuley,2016,S,25,0,25
Tuley,2015,S,55,0,55
Tuley,2008,S,35,5,40
Unioin,2020,C,1,0,1
Union,2016,C,39,0,39
Union,2012,C,24,0,24
Unity,2017,N,3,0,3
Unity,2013,N,0,1,1
Unity,2011,N,0,1,1
Unity,2007,N,3,5,8
Valley Forge,2015,S,43,0,43
Valley Forge,2007,S,12,0,12
Veteran's Memorial,2019,S,12,0,12
Vittum,2015,C,37,0,37
Vittum,2007,C,27,16,43
Wagner,2019,C,19,0,19
Wallace,2018,S,20,0,20
Wallace,2008,S,3,0,3
Walsh,2019,N,18,0,18
Walsh,2017,N,0,0,0
"Wang, Chi Che",2010,N,20,6,26
"Ward, Montgomery",2019,C,1,0,1
"Ward, Montgomery",2018,C,0,1,1
Warren,2019,N,0,1,1
Warren,2014,N,173,0,173
Warren,2012,N,71,0,71
Warren,2010,N,20,0,20
Warren,2008,N,8,6,14
Warren,2007,N,6,31,37
Washington Square,2016,C,15,0,15
Washington Square,2012,C,1,0,1
Washington Square,2009,C,2,1,3
"Washington, Dinah",2010,S,6,0,6
"Washington, George",2020,S,337,0,337
"Washington, George",2013,S,19,1,20
"Washington, George",2019,S,783,0,783
"Washington, George",2018,S,20,0,20
"Washington, George",2016,S,39,0,39
"Washington, George",2012,S,26,0,26
"Washington, George",2011,S,1,0,1
"Washington, George",2010,S,16,0,16
"Washington, George",2009,S,51,0,51
"Washington, George",2008,S,1,0,1
"Washington, George",2006,S,508,343,851
Washington Harold,2020,S,94,0,94
"Washington, Harold",2019,S,1,4,5
"Washington, Harold",2009,S,91,38,129
Washtenaw,2019,C,2,0,2
Washtenaw,2010,C,0,3,3
Webster,2019,C,0,1,1
Webster,2015,C,0,1,1
Weisman,2015,N,1,0,1
Welles,2018,N,36,0,36
Welles,2013,N,42,1,43
Welles,2010,N,5,0,5
Welles,2009,N,1,0,1
Welles,2008,N,14,5,19
Wendt Playlot,2007,N,0,1,1
Wentworth,2014,S,40,0,40
Wentworth,2012,S,11,13,24
Wentworth,2007,S,39,32,71
West Chatham,2017,S,84,0,84
West Chatham,2008,S,38,4,42
West Lawn,2017,S,153,0,153
West Lawn,2007,S,25,40,65
West Pullman,2014,S,103,0,103
West Pullman,2012,S,6,10,16
West Pullman Park,2019,S,12,0,12
Western,2010,C,1,0,1
"White, Edward",2019,S,15,0,15
"White, Edward",2011,S,20,0,20
Wicker,2020,C,1,0,1
Wicker,2017,C,8,0,8
Wicker,2014,C,0,1,1
Wicker,2009,C,2,8,10
Wicker,2007,C,10,0,10
Wieboldt,2018,N,4,0,4
Wildwood,2015,N,3,0,3
Wildwood,2013,N,45,0,45
Wildwood,2007,N,0,6,6
Williams (Daniel Hael),2020,C,23,0,23
Williams,2010,C,6,3,9
"Wilson, Frank",2016,N,23,0,23
"Wilson, Frank",2013,N,65,0,65
"Wilson, John",2017,C,20,0,20
"Wilson, John",2006,C,8,13,21
Winnemac,2019,N,77,1,78
Winnemac,2017,N,1,0,1
Winnemac,2013,N,1,0,1
Winnemac,2012,N,1,1,2
Winnemac,2010,N,6,1,7
Winnemac,2009,N,8,34,42
Wolcott,2020,S,3,0,3
Wolfe,2016,S,39,0,39
Wolfe,2012,S,13,0,13
Womens,2020,C,5,0,5
Wood,2010,N,2,3,5
Woodhull,2017,S,28,0,28
Wrightwood,2019,N,11,0,11
Wrightwood,2015,N,6,0,6
Wrightwood,2014,N,8,0,8
Wrightwood,2009,N,14,9,23
Zatterburg,2011,N,0,9,9
